"","comicName","comicSummary","comicGrade"
"225","계약 연애 제1수칙","절대 좋아하지 않기","9.79"
"226","남사친의 정의","너희 둘 사귀어?","9.77"
"227","한지붕 새가족","꿀잼 가족 시트콤!","9.65"
"228","띵동! 도토리에요","너튜브하는 마법사","9.78"
"229","전지적덕후시점","나의 덕질 라이프","9.69"
"230","라떼는 말이야","흑역사 파티원 모집","9.75"
"231","맹랑맘마 memory","리메이크 일기","9.75"
"232","해체부대","요즘 군대 이야기","9.56"
"233","살아서 만납시다","PTSD일기","9.79"
"234","24시간","살인마를피해탈출하라","9.68"
"235","겨울살이","집순이웹망생의 일상","9.73"
"236","소라비의 잡화점","#로판  #남장여자","9.84"
"237","기억의 해석","난이의 성장 이야기","9.28"
"238","엔젤인얼스(Angel in Earth)","천사와 인간 콜라보","9.26"
"239","불손한 친구들","일상, 개그툰","9.87"
"240","세 번째 뜨는 해","감정을 들키기 싫어","7.45"
"241","디제이구름 단편집",".","9.71"
"242","애플 마크","친해질리가 없어","9.33"
"243","새벽녘 그늘에 피어난","어우러지는","9.82"
"244","바닥에 뻗어버린 60세","요양보호사의근무일지","9.87"
"245","종말의 아신","종말을 막아라","8.38"
"246","꽃도둑","부활꽃을 훔치자!","9.00"
"247","매일 고백","매일 고백하는 만화","9.80"
"248","5분안에 남친만들기","5분루프 로맨스릴러","8.91"
"249","나에게도 꽃향기가","살인마 사랑이야기","9.79"
"250","라이즈(RISE)","너의 마력은 루시퍼","9.79"
"251","누나미워!","누나와 동생의 일상","9.90"
"252","꼬밍 베이커리","소원의 빵, 꼬밍","9.61"
"253","청월, 물에 비친 달","경화수월(鏡花水月)","9.13"
"254","카나와 초나의 독일","독일 생존기","9.88"
"255","어디사세요","맞춤형아파트프로젝트","9.82"
"256","기행 공포단편집","공포만화 단편선","9.89"
"257","은하!","SF모험만화","9.88"
"258","식봉툰","일상적인 이야기","8.61"
"259","나는 0대생","공대생 일상툰","9.81"
"260","소소캣다이어리","엉뚱, 사색, 코믹","9.71"
"261","나락","나락으로 갈수없어","9.02"
"262","위시(WISH)","뱀파이어소녀와아저씨","9.72"
"263","찬숙씨의 봄","따뜻한 우리 이야기","9.88"
"264","재워주는 사이","재워드릴테니재워줘요","9.22"
"265","사실은 잡지사가 되고 싶었습니다","66100 이야기","9.55"
"266","만신비망록","퇴마사 이야기","9.88"
"267","우주n은하","우주에서 온 소녀들","9.87"
"268","배달의가족","배달식당 생존기","9.42"
"269","끄트머리 도회","어느 디스토피아세계","9.67"
"270","좌충우돌 미대생존기","미대생의 일상","9.65"
"271","드림걸즈","그녀들의 농구이야기","8.98"
"272","여우말고 알바생?!","일상 로맨스 판타지","9.63"
"273","B연애주의","연애는 선택","8.83"
"274","너의 뒤에서","사랑따위...","9.68"
"275","열여섯과 스물 그 사이","툭탁 격정 로맨스","9.02"
"276","오 사장님은 상사병","오사장의상사병고치기","9.69"
"277","이렇게 음침한 내가 너를 좋아해도 될까?!","좋아하게 해줘!","9.77"
"278","힐러인데 마왕!?","세계관 최강 힐러","9.85"
"279","별을 품은 꽃","로맨스일상","9.56"
"280","사랑비","사랑비,첫사랑","7.87"
"281","고냥고냥","취준생 고냥이","9.90"
"282","루저들의 산티아고","리얼배낭여행기","9.85"
"283","랭커앤랭커","초능력학원물","9.80"
"284","저승파견고용직","기묘한 러브액션로망","9.90"
"285","딴 짓이 제일 재밌어","딴 짓 찾아 놀기","9.81"
"286","이프위","불과 물의 연애","9.84"
"287","서울아포칼립스","좀비아포칼립스 만화","9.68"
"288","화분","그런 세상 이야기","9.90"
"289","퇴마도시","도시의 요괴사냥!","9.23"
"290","에이전트","대한민국비밀특수요원","9.68"
"291","루이와 졸개들 R","나만알고싶은 양아치","9.78"
"292","원포인트","배구를통한성장드라마","8.67"
"293","막장동화에 어서오렴! (feat.동화원정대)","막장 판타지 동화!","9.31"
"294","달토끼","달에서 온 무언가","9.72"
"295","미가식당","뜨거워지는 열혈!","9.31"
"296","오마이갓","신을 뽑는 오디션","9.59"
"297","시바하루 (시바견의 하루)","기숙사  일상물","9.68"
"298","휴지통","잔부스러기같은 행복","9.88"
"299","아틀레냐 비바체","치유계 개판물","9.89"
"300","신들의 킬러텔","신을죽이고도망친킬러","9.76"
"301","조의 괴기만화","괴기한 만화","9.79"
"302","게임에 접속했습니다!","게임하는 고딩들","9.77"
"303","나나유치원","액션 배틀물","9.56"
"304","지렸다","28세 아기","9.57"
"305","우리 카페 사장님이 이상하다","이상한 카페 알바기","9.92"
"306","[GL] 유빈이는 기여운데","본격 여고 로맨스","9.63"
"307","안녕 나의 수집","오늘은 뭘 비울까?","9.87"
"308","안녕, 나의 길고양이","길고양이와 공대생","9.69"
"309","페카텀","신과 사제의 이야기","9.78"
"310","졸렬☆다이나믹","우당탕탕 블랙코미디","9.89"
"311","리드래프트","야구에 만약이있다면","9.81"
"312","여기, 제일무학고등학교","남장여주 로코학원물","9.83"
"313","모지리전","바보 무리 기록본","9.27"
"314","시크릿 하숙집","판타지 시트콤","9.78"
"315","엔딩 페어리 메이커","내게 빙의한 아이돌","9.25"
"316","애쉬그레이","판타지","9.90"
"317","나의 여름방학","영수의 여름방학","9.40"
"318","천사의 학교","천사반 살아남기","9.34"
"319","어시스턴트입니다","어시스턴트의 일상","9.78"
"320","코실룩코실룩","토끼는,"9.73"
"321","로단테 퀘스트","판타지 활극 드라마","9.88"
"322","목소리의 그늘","성우, 성장 로맨스","9.90"
"323","1년 동안 잘 부탁해!","우당탕탕 기숙학교!","9.52"
"324","그들이 사는 세상","과고에서 1등하기","8.88"
"325","땅거미들","미아들의 생존일지","9.69"
"326","8470원만 주면 KISS 해주는 놈","인터넷소설 세상으로","9.60"
"327","이름 없는 나에게","윤하와 주변 이야기","9.42"
"328","고백점프!","고백으로 혼내주기?","9.72"
"329","여우신부&뱀신랑","뱀과 구미호 이야기","9.75"
"330","오사와 오폐수들","오레오사냥꾼의 일상","9.91"
"331","이클립스","중세풍 판타지","9.85"
"332","두부소녀","손대면 두부로 변해","9.44"
"333","오늘도 먹음머금","밥 먹는 두 친구","9.89"
"334","베텔게우스","별과 시간과 사람","9.58"
"335","클러치샷","길거리 농구 TV쇼","9.45"
"336","김네몽로그","귀여운엄마 김네몽","9.70"
"337","매우의 방콕 생활일기","태국 방콕 일상툰","9.86"
"338","에고 인 휴고","지킬 박사의 후손","9.81"
"339","악몽친구?","악몽.. 찢는다","8.32"
"340","개구멍을 타고 온 그대","꿈,청춘 그리고현실","9.29"
"341","한국 고대의 신화","고대 신화 이야기","9.80"
"342","정령왕즈","정령왕들이 조잘조잘","9.88"
"343","우리 어린이집 이야기","어린이집 일상이야기","9.80"
"344","칼람의 신들","수메르 신화","9.89"
"345","본격 북유럽 신화 만화","신화 설명하는 만화","9.90"
"346","세상은 그대를 중심으로","운명의 중심 호인","9.53"
"347","봄이 자주 오는 이유","편지로 이어진 운명","8.89"
"348","나의 밤을 부탁해","동거 로맨스","9.89"
"349","티레시아스","판타지 순정만화","9.82"
"350","배반을 모르는 푸른 꽃을 위하여","로맨스 판타지","9.66"
"351","범고래아가씨","달달한 연애일상","9.67"
"352","아라군주","범고래 판타지 액션","9.61"
"353","네, 아직 아파요","정병러 그림 일기","9.50"
"354","학교가는 고등어","요즘애들이란 이상해","9.86"
"355","거짓말쟁이 윗치","거짓말쟁이 윗치","9.77"
"356","던전 헌터 그 녀석들","던전의 기묘한 헌터","9.88"
"357","부서진 평시","변호사의 추리소설","9.83"
"358","임신해서그래","임산부 공감툰","9.53"
"359","매그니피센트","위대한 우리들","9.82"
"360","창귀","사람이 사라지는 숲","9.82"
"361","충견","괴물과 싸우는 괴물","9.18"
"362","[일상 로맨스] 그냥 선생님","선생님의 일상로맨스","9.89"
"363","이데아 프로젝트","능력자 판타지","9.83"
"364","제 4의 벽","우린 만화 캐릭터다","9.40"
"365","그 냉장고 안에서는","냉장고 속에서","9.74"
"366","불사소년","죽지 않는 소년","8.55"
"367","망했다 튀어라","만화","9.85"
"368","패러렐 필름","평행세계 로맨스","9.55"
"369","우리반 여신","행운의여신우리학교에","9.42"
"370","마녀사냥","마녀사냥","9.48"
"371","깨끗한 사람은 없다!","환경미화 드라마","8.39"
"372","인문학 거저보기 ~서양철학편~","서양철학자 TMI","9.88"
"373","내 여사친은 투명인간!","내여사친은 투명인간","9.39"
"374","어느날 보청기","보청기 이야기","9.89"
"375","우리네 이야기","유쾌한 직장인들","9.75"
"376","꽃집 그 형","하면 안 되는 것","9.19"
"377","집순이에 대하여","집순이들의 일상","9.79"
"378","학의동굴","동굴에서 살아남기","9.49"
"379","내 열정은 최고조!","일상 에피소드!","9.58"
"380","알고 싶니 마음, #심리툰 by 팔호광장","알고싶니 마음","9.79"
"381","다이브","미스터리 성장물","8.71"
"382","초능력의 도시","초능력 판타지","9.72"
